anio,mes,fecha,tramo,A,M,B2,B3,B4,C2,C3,C4,C5,C6,C7,C8,C9,total,AT,BT,CT,AT1
2023,2,2023-02-01,Puente el Zacatal,69188.0,1273.0,5327.0,1828.0,,9078.0,6841.0,1184.0,20988.0,3390.0,161.0,51.0,9813.0,129122.0,70461.0,7155.0,51506.0,129122.0
2023,3,2023-03-01,Cuernavaca-Acapulco,2477310.0,94573.0,69242.0,23529.0,108.0,67070.0,53294.0,8963.0,49988.0,18989.0,712.0,596.0,19593.0,2883967.0,2571883.0,92879.0,219205.0,2883967.0
2023,3,2023-03-01,Cordoba-Veracruz,659820.0,21589.0,26619.0,7299.0,7.0,50805.0,57344.0,8531.0,129946.0,27696.0,3392.0,940.0,114273.0,1108261.0,681409.0,33925.0,392927.0,1108261.0
2023,3,2023-03-01,La Tinaja-Cosoleacaque,398836.0,8376.0,29310.0,13558.0,3.0,47857.0,66756.0,13730.0,194101.0,44696.0,4324.0,1862.0,137509.0,960918.0,407212.0,42871.0,510835.0,960918.0
2023,3,2023-03-01,Lib Noreste de Queretaro,229426.0,1387.0,5174.0,2921.0,8.0,42373.0,30869.0,5489.0,220977.0,23137.0,1279.0,254.0,39437.0,602731.0,230813.0,8103.0,363815.0,602731.0
2023,3,2023-03-01,Libramiento Oriente de Saltillo,148600.0,1321.0,10719.0,10936.0,1363.0,23614.0,11566.0,2403.0,252427.0,22262.0,1676.0,561.0,34960.0,522408.0,149921.0,23018.0,349469.0,522408.0
2023,3,2023-03-01,La Carbonera-Puerto Mexico,169110.0,938.0,13343.0,11793.0,3.0,25458.0,12632.0,4513.0,269588.0,22727.0,1733.0,482.0,35810.0,568130.0,170048.0,25139.0,372943.0,568130.0
2023,3,2023-03-01,Libramiento Poniente de Tampico,241917.0,9232.0,1219.0,117.0,1.0,18789.0,14030.0,2517.0,33880.0,12128.0,1057.0,200.0,29257.0,364344.0,251149.0,1337.0,111858.0,364344.0
2023,3,2023-03-01,Champoton-Campeche,177020.0,4808.0,5285.0,1452.0,1.0,11580.0,13359.0,2270.0,31270.0,7147.0,514.0,110.0,19310.0,274126.0,181828.0,6738.0,85560.0,274126.0
2023,3,2023-03-01,Gomez Palacio-Corralitos,92021.0,267.0,14106.0,8272.0,3.0,8645.0,10347.0,6927.0,98139.0,20280.0,3643.0,516.0,30265.0,293431.0,92288.0,22381.0,178762.0,293431.0
2023,3,2023-03-01,Torreon-Saltillo,223553.0,948.0,19986.0,12915.0,2.0,12179.0,7219.0,6837.0,119455.0,24571.0,4419.0,791.0,54837.0,487712.0,224501.0,32903.0,230308.0,487712.0
2023,3,2023-03-01,Tihuatlan-Gutierrez Zamora,114473.0,1403.0,2426.0,1214.0,3.0,6834.0,7818.0,1934.0,18572.0,7027.0,312.0,106.0,11678.0,173800.0,115876.0,3643.0,54281.0,173800.0
2023,3,2023-03-01,Agua Dulce-Cardenas,156910.0,1559.0,6402.0,3628.0,,18980.0,19722.0,4157.0,65458.0,13935.0,1307.0,483.0,42583.0,335124.0,158469.0,10030.0,166625.0,335124.0
2023,3,2023-03-01,Las Choapas-Ocozocoautla,240374.0,6360.0,12302.0,5102.0,4.0,30700.0,32675.0,4018.0,65856.0,11911.0,1530.0,926.0,43481.0,455239.0,246734.0,17408.0,191097.0,455239.0
2023,3,2023-03-01,Mexico-Cuernavaca,831478.0,20259.0,33810.0,11100.0,35.0,27787.0,19885.0,2634.0,26611.0,5907.0,592.0,95.0,8009.0,988202.0,851737.0,44945.0,91520.0,988202.0
2023,3,2023-03-01,Puente de Ixtla-Iguala,95397.0,1194.0,5305.0,462.0,,7787.0,10469.0,1655.0,5767.0,4088.0,37.0,8.0,1609.0,133778.0,96591.0,5767.0,31420.0,133778.0
2023,3,2023-03-01,La Pera-Cuautla,881121.0,19259.0,23286.0,1433.0,17.0,25234.0,15285.0,1853.0,18218.0,4019.0,430.0,56.0,7751.0,997962.0,900380.0,24736.0,72846.0,997962.0
2023,3,2023-03-01,Zacapalco-Rancho Viejo,51507.0,2467.0,2002.0,138.0,,1563.0,529.0,150.0,140.0,117.0,4.0,,1.0,58618.0,53974.0,2140.0,2504.0,58618.0
2023,3,2023-03-01,Mexico-Queretaro,2573500.0,24714.0,113893.0,41546.0,43.0,238044.0,194549.0,25800.0,620796.0,58232.0,7863.0,2591.0,137335.0,4038906.0,2598214.0,155482.0,1285210.0,4038906.0
2023,3,2023-03-01,Mexico-Puebla,3581756.0,47878.0,133052.0,27761.0,208.0,184572.0,137621.0,11178.0,266003.0,30083.0,3863.0,1667.0,94305.0,4519947.0,3629634.0,161021.0,729292.0,4519947.0
